epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,177.441,0.55118,0.40279,0.82223,0.97391,1,0.99286,0.84697,0.65338,0.40771,0.82517,0.0004358,0.0004358,0.0004358
81,179.616,0.58122,0.39652,0.82619,0.97249,1,0.99167,0.85189,0.63461,0.39956,0.81497,0.000416,0.000416,0.000416
82,181.772,0.58335,0.40151,0.82535,0.97013,1,0.98929,0.84755,0.62458,0.38494,0.8137,0.0003962,0.0003962,0.0003962
83,183.897,0.57586,0.39103,0.82881,0.97229,1,0.98476,0.84695,0.64814,0.39267,0.81847,0.0003764,0.0003764,0.0003764
84,186.05,0.53875,0.3787,0.81531,0.97121,1,0.98357,0.83512,0.65181,0.39564,0.81643,0.0003566,0.0003566,0.0003566
85,188.242,0.53677,0.38238,0.83845,0.97055,1,0.9869,0.85641,0.62072,0.40499,0.81122,0.0003368,0.0003368,0.0003368
86,190.397,0.53335,0.37317,0.82271,0.97048,1,0.9881,0.8682,0.62651,0.3994,0.81159,0.000317,0.000317,0.000317
87,192.586,0.52885,0.37432,0.80927,0.97143,1,0.98762,0.87,0.63331,0.389,0.81256,0.0002972,0.0002972,0.0002972
88,194.762,0.53668,0.3767,0.83797,0.96953,1,0.9881,0.85273,0.65534,0.41445,0.81818,0.0002774,0.0002774,0.0002774
89,196.926,0.54383,0.37242,0.82077,0.9731,1,0.98762,0.8601,0.63963,0.39909,0.81417,0.0002576,0.0002576,0.0002576
90,199.084,0.52498,0.37029,0.81818,0.97264,1,0.9869,0.84954,0.64297,0.39004,0.81545,0.0002378,0.0002378,0.0002378
91,206.247,0.48738,0.36248,0.80815,0.97304,1,0.98643,0.85096,0.64174,0.37839,0.8149,0.000218,0.000218,0.000218
92,208.399,0.47807,0.35041,0.78547,0.97439,1,0.98881,0.85664,0.64268,0.3647,0.81456,0.0001982,0.0001982,0.0001982
93,210.574,0.49528,0.36305,0.81142,0.97411,1,0.98929,0.84829,0.6434,0.37107,0.81528,0.0001784,0.0001784,0.0001784
94,212.751,0.45786,0.33539,0.80198,0.97355,1,0.98881,0.85252,0.64023,0.37896,0.81527,0.0001586,0.0001586,0.0001586
95,214.915,0.46047,0.34414,0.78326,0.97235,1,0.98762,0.84879,0.64705,0.38387,0.81564,0.0001388,0.0001388,0.0001388
96,217.036,0.4498,0.34398,0.7831,0.97297,1,0.9881,0.84665,0.64639,0.39017,0.81491,0.000119,0.000119,0.000119
97,219.2,0.44404,0.33614,0.79695,0.97485,1,0.98643,0.8432,0.6446,0.38111,0.8157,9.92e-05,9.92e-05,9.92e-05
98,221.35,0.45838,0.32996,0.7925,0.97416,1,0.98643,0.84927,0.6502,0.3833,0.81745,7.94e-05,7.94e-05,7.94e-05
99,223.494,0.448,0.3298,0.81036,0.97318,1,0.98643,0.85319,0.64276,0.38099,0.81736,5.96e-05,5.96e-05,5.96e-05
100,225.648,0.43018,0.32509,0.79896,0.97246,1,0.98643,0.85186,0.64318,0.38114,0.81631,3.98e-05,3.98e-05,3.98e-05
